Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  148,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 5]]
  149,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 1], [1, 3], [3, 3], [3, 3]]
  150,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 5]]
  151,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 3], [3, 3], [3, 5]]
  152,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 1], [1, 3], [1, 3], [3, 4]]
  153,  [[0, 0], [0, 0], [0, 1], [1, 3], [1, 3], [1, 4], [2, 3], [3, 5]]
  154,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [2, 3], [3, 3], [3, 4]]
  155,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 3], [3, 3], [3, 4]]
  156,  [[0, 1], [0, 1], [0, 4], [1, 1], [1, 3], [2, 3], [3, 3], [3, 5]]
  157,  [[0, 1], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [3, 5]]
  158,  [[0, 0], [0, 1], [0, 4], [1, 2], [1, 3], [1, 3], [3, 3], [3, 5]]
  159,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [3, 3], [3, 4]]
  160,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [1, 3], [4, 4]]
  161,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [5, 5]]
  162,  [[0, 0], [0, 3], [0, 4], [1, 2], [1, 3], [1, 3], [1, 3], [5, 5]]
  163,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 3], [1, 3], [4, 4]]
  164,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [2, 5]]
  165,  [[0, 3], [0, 4], [0, 5], [1, 1], [1, 1], [1, 2], [3, 3], [3, 3]]
  166,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 4], [1, 5], [2, 3]]
  167,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 3], [1, 4], [1, 5], [3, 3]]
  168,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 1], [1, 3], [1, 4], [2, 3]]
