Nomber of atoms =  8
Atoms =  ['O', 'O', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 6, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   83,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [3, 3], [3, 4], [4, 4], [4, 7]]
   84,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
   85,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 3], [3, 4], [4, 4], [4, 7]]
   86,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [4, 4], [4, 4], [4, 7]]
   87,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 4]]
   88,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [3, 4], [3, 4], [4, 4], [7, 7]]
   89,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
   90,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [4, 4], [4, 4], [7, 7]]
   91,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 7], [3, 4], [3, 4], [4, 4]]
   92,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [2, 4], [3, 3], [4, 4], [4, 7]]
   93,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [2, 4], [3, 3], [3, 4], [4, 4]]
   94,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [2, 4], [3, 3], [3, 4], [7, 7]]
   95,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [4, 4], [4, 7]]
   96,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 4]]
   97,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [7, 7]]
   98,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 3], [2, 4], [3, 3], [4, 4], [4, 7]]
