Nomber of atoms =  9
Atoms =  ['O', 'N', 'CH3', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 5, 1, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  109,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 6], [1, 7], [1, 8], [2, 5], [4, 5], [4, 5], [5, 5]]
  110,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [3, 5], [4, 5], [4, 5]]
  111,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [8, 8]]
  112,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 5], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [8, 8]]
  113,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [3, 8], [4, 5], [4, 5]]
  114,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
  115,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
  116,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
  117,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [3, 5], [4, 5], [5, 5], [5, 8]]
  118,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [3, 5], [4, 5], [4, 5], [5, 5]]
  119,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
  120,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
  121,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [4, 5], [4, 5], [5, 5], [5, 6], [7, 7]]
  122,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 4], [4, 5], [5, 6], [7, 7]]
  123,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [5, 5], [5, 6], [7, 7]]
  124,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 5], [6, 6]]
  125,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [6, 6], [7, 7]]
  126,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 6], [7, 8]]
  127,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 3], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7]]
  128,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 3], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7]]
  129,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [4, 4], [4, 5], [5, 5], [5, 7]]
  130,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [4, 5], [4, 5], [5, 7], [5, 8]]
  131,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [4, 5], [4, 5], [5, 5], [7, 7]]
