Nomber of atoms =  11
Atoms =  ['O', 'O', 'N', 'CH3', 'CH3', 'CH3', 'CH2', 'CH2', 'C', 'H', 'H']
Valence electrons =  [6, 6, 5, 1, 1, 1, 2, 2, 4, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  103,  [[0, 0], [0, 8], [0, 8], [1, 3], [1, 8], [1, 9], [2, 2], [2, 2], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
  104,  [[0, 0], [0, 8], [0, 8], [1, 3], [1, 8], [1, 9], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
  105,  [[0, 0], [0, 8], [0, 9], [1, 2], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [7, 8], [10, 10]]
  106,  [[0, 0], [0, 8], [0, 8], [1, 2], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [7, 8], [10, 10]]
  107,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 2], [3, 6], [6, 7], [7, 8], [10, 10]]
  108,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [8, 8], [10, 10]]
  109,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [4, 6], [5, 10], [6, 7], [7, 8]]
  110,  [[0, 0], [0, 8], [0, 9], [1, 6], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 10], [4, 7], [6, 7], [8, 8]]
  111,  [[0, 0], [0, 8], [0, 8], [1, 6], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 7], [6, 7], [8, 8]]
  112,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 6], [2, 10], [4, 7], [6, 7], [8, 8]]
  113,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [7, 7], [8, 8]]
  114,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [5, 8], [6, 7]]
  115,  [[0, 0], [0, 8], [0, 9], [1, 8], [1, 8], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8]]
  116,  [[0, 0], [0, 8], [0, 8], [1, 8], [1, 9], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8]]
  117,  [[0, 0], [0, 8], [0, 9], [1, 6], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 4], [5, 7], [6, 7], [8, 8]]
  118,  [[0, 0], [0, 8], [0, 8], [1, 6], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 7], [6, 7], [8, 8]]
  119,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 6], [5, 7], [6, 7], [8, 8]]
  120,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [7, 7], [8, 8]]
  121,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 10]]
  122,  [[0, 0], [0, 8], [0, 9], [1, 2], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8], [10, 10]]
  123,  [[0, 0], [0, 8], [0, 8], [1, 2], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8], [10, 10]]
  124,  [[0, 0], [0, 8], [0, 9], [1, 6], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 7], [6, 7], [8, 8], [10, 10]]
  125,  [[0, 0], [0, 8], [0, 8], [1, 6], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 7], [6, 7], [8, 8], [10, 10]]
  126,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [7, 7], [8, 8], [10, 10]]
  127,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 8], [5, 6], [6, 7], [10, 10]]
  128,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 10], [8, 8]]
  129,  [[0, 0], [0, 8], [0, 9], [1, 6], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [7, 7], [8, 8]]
  130,  [[0, 0], [0, 8], [0, 8], [1, 6], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [7, 7], [8, 8]]
  131,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 3], [2, 4], [2, 6], [2, 10], [5, 6], [7, 7], [8, 8]]
  132,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [6, 6], [7, 7], [8, 8]]
  133,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 8], [7, 7]]
  134,  [[0, 0], [0, 3], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
  135,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [7, 8], [10, 10]]
  136,  [[0, 0], [0, 2], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
  137,  [[0, 0], [0, 6], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
  138,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 3], [2, 4], [2, 6], [2, 10], [5, 7], [6, 7], [8, 8]]
  139,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [7, 7], [8, 8]]
