Nomber of atoms =  10
Atoms =  ['Ph', 'X', 'M', 'O', 'O', 'O', 'CH2', 'C', 'C', 'H']
Valence electrons =  [3, 7, 1, 6, 6, 6, 2, 4, 4, 1]
Fixed electrons =  [[1, 1], [1, 1], [1, 1], [3, 3], [4, 4], [5, 5]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  116,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 7], [4, 7], [5, 7], [5, 8], [5, 8], [6, 8], [6, 9]]
  117,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
  118,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  119,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
  120,  [[0, 7], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
  121,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 7], [5, 8], [5, 8], [6, 8], [6, 9]]
  122,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 5], [5, 8], [6, 8], [6, 9]]
  123,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  124,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
  125,  [[0, 7], [0, 8], [1, 7], [2, 3], [3, 3], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
