Nomber of atoms =  8
Atoms =  ['X', 'X', 'CH3', 'CH3', 'C', 'C', 'H', 'H']
Valence electrons =  [7, 7, 1, 1, 4, 4, 1, 1]
Fixed electrons =  [[0, 0], [0, 0], [0, 0], [1, 1], [1, 1], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  163,  [[0, 0], [1, 4], [2, 5], [4, 5], [4, 5], [4, 5], [6, 6]]
  164,  [[0, 4], [1, 6], [2, 5], [3, 7], [4, 5], [4, 5], [4, 5]]
  165,  [[0, 0], [1, 4], [2, 5], [3, 6], [4, 4], [4, 5], [4, 5]]
  166,  [[0, 4], [1, 6], [2, 4], [3, 4], [5, 5], [5, 5], [5, 7]]
  167,  [[0, 4], [1, 6], [2, 4], [3, 4], [4, 5], [5, 5], [5, 5]]
  168,  [[0, 4], [1, 6], [2, 4], [3, 7], [4, 5], [5, 5], [5, 5]]
  169,  [[0, 0], [1, 2], [4, 4], [4, 5], [4, 5], [4, 6], [5, 5]]
  170,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 6], [5, 5], [5, 5]]
  171,  [[0, 0], [1, 2], [3, 4], [4, 4], [4, 5], [4, 5], [5, 5]]
  172,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 5], [5, 5], [6, 6]]
  173,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 5], [4, 6], [5, 7]]
  174,  [[0, 0], [1, 1], [2, 4], [4, 5], [4, 6], [5, 5], [5, 7]]
  175,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [4, 6], [5, 5]]
  176,  [[0, 0], [1, 4], [2, 4], [4, 5], [4, 6], [5, 5], [5, 5]]
  177,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 6], [5, 5], [5, 5]]
  178,  [[0, 0], [1, 2], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6]]
  179,  [[0, 0], [1, 1], [2, 4], [3, 4], [4, 5], [5, 5], [5, 6]]
  180,  [[0, 0], [1, 1], [2, 4], [4, 4], [4, 5], [5, 6], [5, 7]]
  181,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 5], [4, 5], [5, 6]]
  182,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 5], [5, 6], [5, 7]]
  183,  [[0, 2], [1, 6], [4, 4], [4, 5], [4, 5], [4, 5], [5, 7]]
  184,  [[0, 2], [1, 6], [4, 4], [4, 4], [4, 5], [5, 5], [5, 7]]
  185,  [[0, 2], [1, 6], [4, 4], [4, 5], [4, 5], [5, 5], [7, 7]]
  186,  [[0, 2], [1, 6], [3, 4], [4, 4], [4, 5], [4, 5], [5, 7]]
  187,  [[0, 2], [1, 6], [3, 4], [4, 4], [4, 5], [5, 5], [5, 5]]
  188,  [[0, 2], [1, 6], [3, 4], [4, 5], [4, 5], [4, 5], [5, 5]]
  189,  [[0, 2], [1, 6], [3, 4], [4, 5], [4, 5], [4, 5], [7, 7]]
  190,  [[0, 4], [1, 6], [4, 4], [4, 5], [4, 7], [5, 5], [5, 5]]
  191,  [[0, 0], [1, 6], [2, 7], [4, 4], [4, 5], [4, 5], [5, 5]]
  192,  [[0, 4], [1, 6], [2, 5], [4, 4], [4, 7], [5, 5], [5, 5]]
  193,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 4], [4, 5], [4, 7]]
  194,  [[0, 0], [1, 6], [2, 4], [3, 4], [4, 5], [4, 5], [5, 7]]
  195,  [[0, 0], [1, 6], [2, 4], [3, 4], [4, 5], [5, 5], [5, 5]]
  196,  [[0, 6], [1, 7], [2, 4], [4, 4], [4, 5], [5, 5], [5, 5]]
  197,  [[0, 6], [1, 7], [2, 4], [4, 5], [4, 5], [4, 5], [5, 5]]
  198,  [[0, 0], [1, 6], [2, 4], [3, 7], [4, 5], [4, 5], [4, 5]]
  199,  [[0, 0], [1, 1], [2, 4], [3, 6], [4, 5], [4, 5], [5, 5]]
  200,  [[0, 6], [1, 7], [2, 4], [3, 4], [4, 5], [4, 5], [5, 5]]
  201,  [[0, 0], [1, 1], [2, 4], [3, 4], [4, 5], [4, 5], [5, 5]]
  202,  [[0, 2], [1, 4], [4, 5], [4, 5], [4, 6], [5, 5], [5, 7]]
  203,  [[0, 2], [1, 4], [4, 4], [4, 5], [4, 5], [5, 6], [5, 7]]
  204,  [[0, 2], [1, 4], [4, 4], [4, 5], [4, 5], [5, 5], [6, 6]]
